step,avg_stress_fixator,avg_stress_bone,avg_stress_callus,gap_strain
0,80368.02270482726,10783.813794161275,176.62673699434313,1.6558884841437574e-06
1,79970.87425241622,10823.79187365691,1634.629922013127,1.4798825159069925e-06
2,79656.21946857621,10870.028093996843,2805.060840013399,1.3410226329584518e-06
3,79400.0378811972,10916.005339069305,3771.5538781453156,1.2284750427414415e-06
4,79186.89829278081,10959.278824940104,4587.626319061738,1.1352771314872188e-06
5,79006.41573489786,10999.085188663506,5289.205362173281,1.0567433030168041e-06
6,78851.33338169259,11035.353479486776,5901.367674580857,9.896004043996255e-07
7,78716.42032129286,11068.287651237464,6442.189485186219,9.314902872204121e-07
8,78597.80635162415,11098.186648431407,6925.057950594171,8.806693613902667e-07
9,78492.56372996804,11125.366567080704,7360.117964577944,8.358196027210631e-07
10,78398.43488567448,11150.12801948824,7755.210667432268,7.959254925078255e-07
11,78313.64977504886,11172.74390694258,8116.501256920203,7.601914717424299e-07
12,78236.80014070593,11193.456414976616,8448.910368421026,7.27985122322073e-07
13,78166.75095085487,11212.478054848805,8756.417544011061,6.987971599202066e-07
14,78102.5767551708,11229.994321980641,9042.27920914389,6.722126933343096e-07
15,78043.51511901818,11246.166833800231,9309.188169542045,6.478902050652346e-07
16,77988.93200088633,11261.13642889689,9559.39226897862,6.255459303460087e-07
17,77938.29563421279,11275.026009379892,9794.78399162484,6.049420790541005e-07
18,77891.1565641756,11287.94305291057,10016.969042266273,5.858778379700819e-07
19,77847.13220577562,11299.98178886844,10227.319483090208,5.681824145272104e-07
